,Year,GDP per capita in U.S. dollars
0,2025*,12037.73
1,2024*,11599.98
2,2023*,11166.76
3,2022*,10622.37
4,2021*,9629.78
5,2020*,8950.7
6,2019*,11090.43
7,2018,11205.9
8,2017,10485.01
9,2016,9681.42
10,2015,9258.56
11,2014,10151.73
12,2013,9637.02
13,2012,9291.24
14,2011,9197.04
15,2010,8000.38
16,2009,7318.13
17,2008,8030.05
18,2007,6574.66
19,2006,5695.98
20,2005,5516.2
21,2004,5626.0
22,2003,5005.42
23,2002,4196.43
24,2001,4026.94
25,2000,4102.59
26,1999,3859.15
27,1998,3701.87
28,1997,3703.63
29,1996,3993.48
30,1995,3902.22
31,1994,3446.31
32,1993,3148.8
33,1992,3091.41
34,1991,2781.63
35,1990,2555.86
36,1989,2146.05
37,1988,2104.55
38,1987,1827.43
39,1986,1454.12
40,1985,1085.14
