,Year,Number of marriages
0,2017,279582
1,2016,287328
2,2015,283559
3,2014,289841
4,2013,276527
5,2012,301254
6,2011,286634
7,2010,280444
8,2009,267898
9,2008,273207
10,2007,273920
11,2006,277611
12,2005,286826
13,2004,313551
14,2003,308623
15,2002,293021
16,2001,286129
17,2000,305912
18,1999,301083
19,1998,304797
20,1997,310218
21,1996,317513
22,1995,322251
23,1994,331232
24,1993,341608
25,1992,356013
26,1991,349739
27,1990,375410
28,1989,392042
29,1988,394051
30,1987,397937
31,1986,393939
32,1985,393117
33,1984,395800
34,1983,389286
35,1982,387021
36,1981,397846
37,1980,418446
38,1979,416927
39,1978,416376
40,1977,403938
41,1976,406024
42,1975,430678
43,1974,436346
44,1973,453665
45,1972,480285
46,1971,459389
47,1970,470987
48,1969,451627
49,1968,462758
50,1967,439092
51,1966,437083
52,1965,422054
53,1964,410163
54,1963,401137
55,1962,397818
56,1961,397101
57,1960,393598
58,1959,390178
59,1958,390356
60,1957,398955
61,1956,406266
62,1955,410630
63,1954,392859
64,1953,395316
65,1952,399762
66,1951,411399
67,1950,408033
68,1949,425965
69,1948,449969
70,1947,455087
71,1946,441192
72,1945,456720
73,1944,349239
74,1943,344764
75,1942,428819
76,1941,448507
77,1940,533866
78,1939,495115
79,1938,409101
80,1937,406117
81,1936,401684
82,1935,396368
83,1934,387471
84,1933,360022
85,1932,347300
86,1931,351868
87,1930,355971
88,1929,353709
89,1928,343440
90,1927,348098
91,1926,318332
92,1925,335827
93,1924,336258
94,1923,335582
95,1922,341971
96,1921,368216
97,1920,436286
98,1919,423463
99,1918,329489
100,1917,296148
101,1916,318303
102,1915,404990
103,1914,336931
104,1913,327503
105,1912,323809
106,1911,314377
107,1910,305977
108,1909,297863
109,1908,303765
110,1907,317125
111,1906,310693
112,1905,299475
113,1904,297439
114,1903,300842
115,1902,301342
116,1901,298203
117,1900,297050
118,1899,302810
119,1898,295137
120,1897,287920
121,1896,280790
122,1895,264246
123,1894,261156
124,1893,252832
125,1892,262788
126,1891,261599
127,1890,257346
128,1889,247040
129,1888,235935
130,1887,232245
