,Year,Number of recipients
0,2029-30*,190000
1,2028-29*,190000
2,2027-28*,190000
3,2026-27*,190000
4,2025-26*,189000
5,2024-25*,188000
6,2023-24*,188000
7,2022-23*,187000
8,2021-22*,187000
9,2020-21*,187000
10,2019-20*,186000
11,2018-19*,186000
12,2017-18,184074
13,2016-17,181357
14,2015-16,178134
15,2014-15,178548
16,2013-14,177587
17,2012-13,175026
18,2011-12,170217
19,2010-11,163827
20,2009-10,158590
21,2008-09,154564
22,2007-08,149190
23,2006-07,144694
24,2005-06,138056
25,2004-05,134387
26,2003-04,126087
27,2002-03,121579
28,2001-02,119663
29,2000-01,119585
30,1999-00,118736
31,1989-90,103508
32,1979-80,95631
33,1969-70,59486
34,1959-60,9829
35,1949-50,6420
36,1939-40,3290
37,1929-30,2299
38,1919-20,615
39,1909-10,443
40,1899-00,382
41,1889-90,149
42,1879-80,54
43,1869-70,1
