,Year,Gross domestic product in billion U.S. dollars
0,2025*,23089.16
1,2024*,21369.44
2,2023*,19745.8
3,2022*,18240.57
4,2021*,16834.59
5,2020*,15222.16
6,2019,14731.81
7,2018,13841.9
8,2017,12265.32
9,2016,11227.08
10,2015,11113.53
11,2014,10524.21
12,2013,9625.04
13,2012,8539.47
14,2011,7492.26
15,2010,6033.81
16,2009,5088.99
17,2008,4577.4
18,2007,3555.68
19,2006,2754.11
20,2005,2290.09
21,2004,1949.49
22,2003,1656.95
23,2002,1465.84
24,2001,1333.67
25,2000,1205.52
26,1999,1088.34
27,1998,1024.17
28,1997,957.99
29,1996,860.48
30,1995,731.02
31,1994,561.69
32,1993,617.43
33,1992,492.16
34,1991,413.22
35,1990,396.58
36,1989,458.17
37,1988,408.65
38,1987,327.72
39,1986,300.92
40,1985,310.15
