,Quarter,Revenue in billion euros
0,Q4 '19,8.04
1,Q3 '19,6.79
2,Q2 '19,6.63
3,Q1 '19,6.09
4,Q4 '18,7.43
5,Q3 '18,6.02
6,Q2 '18,6.0
7,Q1 '18,5.26
8,Q4 '17,6.81
9,Q3 '17,5.59
10,Q2 '17,5.78
11,Q1 '17,5.29
12,Q4 '16,6.72
13,Q3 '16,5.38
14,Q2 '16,5.24
15,Q1 '16,4.73
16,Q4 '15,6.34
17,Q3 '15,4.99
18,Q2 '15,4.97
19,Q1 '15,4.5
20,Q4 '14,5.46
21,Q3 '14,4.25
22,Q2 '14,4.15
23,Q1 '14,3.7
24,Q4 '13,5.11
25,Q3 '13,4.05
26,Q2 '13,4.06
27,Q1 '13,3.6
28,Q4 '12,5.02
29,Q3 '12,3.95
30,Q2 '12,3.9
31,Q1 '12,3.35
32,Q4 '11,4.5
33,Q3 '11,3.41
34,Q2 '11,3.3
35,Q1 '11,3.02
36,Q4 '10,4.06
37,Q3 '10,3.0
38,Q2 '10,2.89
39,Q1 '10,2.51
40,Q4 '09,3.19
41,Q3 '09,2.51
42,Q2 '09,2.58
43,Q1 '09,2.4
44,Q4 '08,3.49
45,Q3 '08,2.76
46,Q2 '08,2.86
47,Q1 '08,2.46
