,Month,Number of transactions in millions
0,Aug '19,225.06
1,Jul '19,225.67
2,Jun '19,220.66
3,May '19,231.7
4,Apr '19,220.25
5,Mar '19,231.81
6,Feb '19,206.8
7,Jan '19,209.31
8,Dec '18,234.5
9,Nov '18,236.63
10,Oct '18,243.09
11,Sep '18,240.09
12,Aug '18,250.49
13,Jul '18,252.72
14,Jun '18,256.68
15,May '18,259.35
16,Apr '18,241.72
17,Mar '18,251.39
18,Feb '18,222.92
19,Jan '18,228.02
20,Dec '17,253.92
21,Nov '17,255.31
22,Oct '17,262.83
23,Sep '17,262.14
24,Aug '17,266.03
25,Jul '17,269.37
26,Jun '17,263.68
27,May '17,269.46
28,Apr '17,261.98
29,Mar '17,269.23
30,Feb '17,234.39
31,Jan '17,236.86
32,Dec '16,269.31
33,Nov '16,261.95
34,Oct '16,276.82
35,Sep '16,270.71
36,Aug '16,269.18
37,Jul '16,275.11
38,Jun '16,263.21
39,May '16,271.7
40,Apr '16,263.89
41,Mar '16,264.01
42,Feb '16,243.28
43,Jan '16,241.62
44,Dec '15,266.5
45,Nov '15,259.68
46,Oct '15,280.7
47,Sep '15,264.14
48,Aug '15,269.9
49,Jul '15,276.18
50,Jun '15,267.46
51,May '15,277.0
52,Apr '15,261.11
53,Mar '15,263.35
54,Feb '15,235.16
55,Jan '15,241.49
56,Dec '14,261.87
57,Nov '14,263.64
58,Oct '14,275.16
59,Sep '14,265.26
60,Aug '14,268.1
61,Jul '14,272.3
62,Jun '14,263.61
63,May '14,277.01
64,Apr '14,259.27
65,Mar '14,268.43
66,Feb '14,233.15
67,Jan '14,241.72
