,State,Number of households in millions
0,District of Columbia,22
1,Mississippi,21
2,Tennessee,20
3,New Mexico,20
4,Michigan,20
5,Oregon,20
6,Louisiana,19
7,Maine,19
8,Alabama,19
9,Kentucky,19
10,West Virginia,19
11,Georgia,18
12,South Carolina,18
13,Arkansas,17
14,Florida,16
15,North Carolina,16
16,Missouri,16
17,Arizona,16
18,Oklahoma,16
19,Washington,15
20,Texas,15
21,Vermont,15
22,New York,15
23,Rhode Island,15
24,Delaware,15
25,Ohio,15
26,Wisconsin,14
27,Idaho,14
28,Illinois,14
29,Pennsylvania,13
30,Indiana,13
31,Nevada,12
32,Montana,12
33,South Dakota,12
34,Iowa,12
35,Alaska,12
36,Hawaii,12
37,Massachusetts,12
38,Connecticut,11
39,Virginia,11
40,Maryland,11
41,Kansas,10
42,California,10
43,Utah,10
44,North Dakota,9
45,New Hampshire,9
46,Colorado,9
47,New Jersey,9
48,Minnesota,9
49,Nebraska,9
50,Wyoming,6
