,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Mining, quarrying, and oil and gas extraction",12.35
1,Government and government enterprises,9.84
2,Transportation and warehousing,5.84
3,"Finance, insurance, real estate, rental, and leasing",5.63
4,"Educational services, health care, and social assistance",4.18
5,Professional and business services,3.07
6,Retail trade,2.27
7,Manufacturing,1.94
8,"Arts, entertainment, recreation, accommodation, and food services",1.57
9,Information,1.28
10,Construction,1.53
11,Wholesale trade,1.31
12,Utilities,0.72
13,"Agriculture, forestry, fishing, and hunting",0.36
