,football club,Number of followers in thousands
0,LA Galaxy,4027.67
1,New York City FC,3266.13
2,Atlanta United,1714.88
3,Seattle Sounders,1605.56
4,Orlando City,1407.75
5,New York Red Bulls,1371.13
6,LAFC,1069.29
7,Toronto FC,976.27
8,Sporting Kansas City,874.21
9,Houston Dynamo,873.52
10,Portland Timbers,804.57
11,Montreal Impact,781.37
12,Vancouver Whitecaps,727.44
13,FC Dallas,636.85
14,Chicago Fire,615.68
15,DC United,585.41
16,San Jose Earthquakes,540.82
17,Columbus Crew,484.37
18,Philadelphia Union,420.92
19,Real Salt Lake,416.86
20,New England Revolution,405.85
21,Minnesota United,394.47
22,Colorado Rapids,386.33
23,FC Cincinnati,291.49
