,Month,Index number of sales per week
0,Jun 20,127.5
1,May 20,94.9
2,Apr 20,85.6
3,Mar 20,120.0
4,Feb 20,117.2
5,Jan 20,114.9
6,Dec 19,120.1
7,Nov 19,119.1
8,Oct 19,114.4
9,Sep 19,121.1
10,Aug 19,109.3
11,Jul 19,110.3
12,Jun 19,105.6
13,May 19,110.5
14,Apr 19,108.1
15,Mar 19,119.6
16,Feb 19,106.2
17,Jan 19,105.4
18,Dec 18,102.9
19,Nov 18,113.1
20,Oct 18,107.5
21,Sep 18,108.0
22,Aug 18,111.6
23,Jul 18,108.0
24,Jun 18,107.9
25,May 18,106.7
26,Apr 18,109.2
27,Mar 18,106.8
28,Feb 18,106.1
29,Jan 18,107.0
30,Dec 17,104.5
31,Nov 17,108.6
32,Oct 17,106.1
33,Sep 17,104.4
34,Aug 17,106.7
35,Jul 17,105.3
36,Jun 17,105.7
37,May 17,101.0
38,Apr 17,104.4
39,Mar 17,104.6
40,Feb 17,103.5
41,Jan 17,103.8
42,Dec 16,100.8
43,Nov 16,100.4
44,Oct 16,101.4
45,Sep 16,102.7
46,Aug 16,98.6
47,July 16,102.1
48,June 16,102.7
49,May 16,107.3
50,April 16,90.4
51,Mar 16,96.4
52,Feb 16,98.5
53,Jan 16,98.2
