,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,2%
4,2021*,1.63%
5,2020*,0.87%
6,2019,0.91%
7,2018,2.32%
8,2017,2.18%
9,2016,-0.19%
10,2015,-1.73%
11,2014,0.19%
12,2013,0.81%
13,2012,2.6%
14,2011,3.19%
15,2010,0.75%
16,2009,0.37%
17,2008,10.12%
18,2007,6.99%
19,2006,3.02%
20,2005,3.44%
21,2004,2.85%
22,2003,0.13%
23,2002,0.75%
24,2001,1.36%
25,2000,0.2%
26,1999,1.03%
27,1998,2.14%
28,1997,0.44%
29,1996,4.41%
30,1995,1.74%
31,1994,0.29%
32,1993,4.29%
33,1992,0.53%
34,1991,-0.36%
35,1990,7.25%
36,1989,2.64%
37,1988,0.44%
38,1987,2.87%
39,1986,1.15%
40,1985,2.08%
