,Country,Development of real wages compared to previous year
0,Romania,9.6%
1,Poland,6.1%
2,Bulgaria,4.8%
3,Lithuania,4.7%
4,Slowakia,4.3%
5,Estonia,3.7%
6,Latvia,3.3%
7,Hungary,3.3%
8,Slovenia,3%
9,Croatia,2.6%
10,Czech Republic,2.5%
11,Ireland,2.2%
12,Finland,1.9%
13,Germany,1.7%
14,Cyprus,1.6%
15,Greece,1.6%
16,Sweden,1.5%
17,Denmark,1.3%
18,United Kingdom,1.1%
19,Luxembourg,1.1%
20,Portugal,1.1%
21,EU 28,1%
22,Spain,0.9%
23,Austria,0.7%
24,Belgium,0.7%
25,Malta,0.6%
26,Netherlands,0.2%
27,Italy,0%
28,France,-1.3%
