,Quarter,Debt in trillion U.S. dollars
0,Q2 2020,10.62
1,Q1 2020,10.68
2,Q4 2019,10.61
3,Q3 2019,10.52
4,Q2 2019,10.46
5,Q1 2019,10.37
6,Q4 2018,10.32
7,Q3 2018,10.26
8,Q2 2018,10.19
9,Q1 2018,10.1
10,Q4 2017,10.04
11,Q3 2017,9.97
12,Q2 2017,9.9
13,Q1 2017,9.88
14,Q4 2016,9.79
15,Q3 2016,9.73
16,Q2 2016,9.67
17,Q1 2016,9.62
18,Q4 2015,9.59
19,Q3 2015,9.52
20,Q2 2015,9.49
21,Q1 2015,9.45
22,Q4 2014,9.46
23,Q3 2014,9.44
24,Q2 2014,9.45
25,Q1 2014,9.46
26,Q4 2013,9.47
27,Q3 2013,9.49
28,Q2 2013,9.49
29,Q1 2013,9.53
30,Q4 2012,9.56
31,Q3 2012,9.61
32,Q2 2012,9.66
33,Q1 2012,9.72
