,Year,Gross domestic product in billion U.S. dollars
0,2024*,1988.11
1,2023*,1884.06
2,2022*,1789.96
3,2021*,1702.14
4,2020*,1626.55
5,2019*,1629.53
6,2018,1720.49
7,2017,1623.9
8,2016,1500.48
9,2015,1465.77
10,2014,1484.32
11,2013,1305.61
12,2012,1222.81
13,2011,1202.46
14,2010,1094.5
15,2009,901.94
16,2008,1002.22
17,2007,1122.68
18,2006,1011.8
19,2005,898.14
20,2004,764.88
21,2003,680.52
22,2002,609.02
23,2001,533.05
24,2000,561.63
25,1999,485.25
26,1998,374.24
27,1997,557.5
28,1996,598.1
29,1995,556.13
30,1994,455.61
31,1993,386.3
32,1992,350.05
33,1991,325.73
34,1990,279.35
35,1989,243.53
36,1988,196.97
37,1987,146.13
38,1986,115.54
39,1985,100.27
40,1984,96.6
