,Country,Rating points average
0,Lisbon,4.27
1,Dublin,4.19
2,Berlin,4.12
3,Helsinki,4.1
4,Frankfurt,4.08
5,Madrid,4.08
6,Amsterdam,4.04
7,Vienna,4.01
8,Hamburg,3.99
9,Copenhagen,3.95
10,Paris,3.95
11,Luxembourg,3.92
12,Athens,3.92
13,Munich,3.91
14,Lyon,3.82
15,Oslo,3.81
16,Prague,3.75
17,Stockholm,3.69
18,Warsaw,3.66
19,Milan,3.65
20,Zurich,3.65
21,Budapest,3.58
22,Brussels,3.47
23,Manchester,3.41
24,Birmingham,3.39
25,Edinburgh,3.37
26,Barcelona,3.32
27,Rome,3.27
28,London,2.98
29,Moscow,2.68
30,Istanbul,2.51
