,Metropolitan area,Crime severity index
0,"Regina, Saskatchewan",126.63
1,"Winnipeg, Manitoba",119.43
2,"Saskatoon, Saskatchewan",118.01
3,"Edmonton, Alberta",114.89
4,"Kelowna, British Columbia",100.66
5,"Moncton, New Brunswick",99.68
6,"Thunder Bay, Ontario",94.29
7,"Brantford, Ontario",92.78
8,"Abbotsford-Mission, British Columbia",90.08
9,"Calgary, Alberta",88.1
10,"Windsor, Ontario",85.46
11,"Vancouver, British Columbia",84.3
12,"Greater Sudbury, Ontario",79.54
13,"London, Ontario",76.34
14,"St. John's, Newfoundland and Labrador",74.97
15,"Kitchener-Cambridge-Waterloo, Ontario",73.82
16,"St.Catharines-Niagara, Ontario",69.0
17,"Halifax, Nova Scotia",67.33
18,"Kingston, Ontario",67.31
19,"Guelph, Ontario",66.93
20,"Victoria, British Columbia",63.61
21,"Montréal, Quebec",58.29
22,"Hamilton, Ontario",57.36
23,"Ottawa-Gatineau, Quebec part",56.36
24,"Ottawa-Gatineau, Ontario/Quebec",54.89
25,"Trois-Rivières, Quebec",54.49
26,"Ottawa-Gatineau, Ontario part",54.43
27,"Saint John, New Brunswick",54.32
28,"Toronto, Ontario",53.64
29,"Sherbrooke, Quebec",51.66
30,"Barrie, Ontario",50.42
31,"Saguenay, Quebec",48.51
32,"Peterborough, Ontario",48.19
33,"Québec, Quebec",44.71
