,Quarter,Size of global sales force
0,Q4 '19,2316
1,Q3 '19,2438
2,Q2 '19,2327
3,Q1 '19,2377
4,Q4 '18,2268
5,Q3 '18,2334
6,Q2 '18,2373
7,Q1 '18,2404
8,Q4 '17,2407
9,Q3 '17,2457
10,Q2 '17,2485
11,Q1 '17,2624
12,Q4 '16,2626
13,Q3 '16,2695
14,Q2 '16,2893
15,Q1 '16*,3068
16,Q4 '15,3992
17,Q3 '15,4168
18,Q2 '15,4321
19,Q1 '15,4429
20,Q4 '14,4984
21,Q3 '14,4420
22,Q4 '13,4834
23,Q3 '13,4801
24,Q2 '13,4679
25,Q1 '13,4566
26,Q4 '12,4677
27,Q3 '12,5087
28,Q2 '12,5587
29,Q1 '12,5735
30,Q4 '11,5196
31,Q3 '11,4853
32,Q2 '11,4850
33,Q1 '11,3556
34,Q4 '10,2573
35,Q3 '10,1572
36,Q2 '10,1281
37,Q1 '10,128
38,Q4 '09,76
39,Q3 '09,44
40,Q2 '09,18
41,Q1 '09,2
