,geographic region,Prevalence
0,South Africa,5.7%
1,Western sub-Saharan Africa,5.6%
2,North Africa and Middle East,5.6%
3,East sub-Saharan Africa,4.6%
4,Central sub-Saharan Africa,4.6%
5,South-East Asia,4.5%
6,Oceania,4%
7,Andean Latin America,3.9%
8,East Asia,3.4%
9,Southern sub-Saharan Africa,3.3%
10,Central Latin America,2.7%
11,Caribbean,2.7%
12,Central Asia,2.6%
13,Eastern Europe,2.1%
14,Southern Latin America,2%
15,Tropical Latin America,2%
16,Central Europe,1.6%
17,Australasia,1.5%
18,North America,1.4%
19,Western Europe,1.2%
