,Fiscal Year,Wii,GameCube,Nintendo 64,Wii U,Nintendo Switch
0,FY '19,-,-,-,-,16.95
1,FY '18,-,-,-,-,15.05
2,FY '17,-,-,-,0.76,2.74
3,FY '16,0.11,-,-,3.26,-
4,FY '15,0.46,-,-,3.38,-
5,FY '14,1.22,-,-,2.72,-
6,FY '13,3.98,-,-,3.45,-
7,FY '12,9.84,-,-,-,-
8,FY '11,15.08,-,-,-,-
9,FY '10,20.53,-,-,-,-
10,FY '09,25.95,-,-,-,-
11,FY '08,18.61,0.16,-,-,-
12,FY '07,5.84,0.73,-,-,-
13,FY '06,-,2.35,-,-,-
14,FY '05,-,3.92,-,-,-
15,FY '04,-,5.02,-,-,-
16,FY '03,-,5.76,0.01,-,-
17,FY '02,-,3.8,0.5,-,-
18,FY '01,-,-,2.85,-,-
19,FY '00,-,-,6.49,-,-
20,FY '99,-,-,7.86,-,-
21,FY '98,-,-,9.42,-,-
22,FY '97,-,-,5.8,-,-
