,Month,Consumer price index (2015=100)
0,May 2020*,111.55
1,Apr 2020,111.51
2,Mar 2020,110.77
3,Feb 2020,109.83
4,Jan 2020,108.54
5,Dec 2019,109.19
6,Nov 2019,109.57
7,Oct 2019,109.65
8,Sep 2019,109.71
9,Aug 2019,110.13
10,Jul 2019,109.52
11,Jun 2019,108.89
12,May 2019,108.11
13,Apr 2019,107.78
14,Mar 2019,107.37
15,Feb 2019,107.74
16,Jan 2019,106.61
17,Dec 2018,105.28
18,Nov 2018,105.07
19,Oct 2018,104.57
20,Sep 2018,104.66
21,Aug 2018,105.04
22,Jul 2018,104.43
23,Jun 2018,102.44
24,May 2018,104.43
25,Apr 2018,104.03
26,Mar 2018,103.65
27,Feb 2018,104.66
28,Jan 2018,103.47
