,State,Number of executions
0,Texas,569
1,Virginia,113
2,Oklahoma,112
3,Florida,99
4,Missouri,90
5,Georgia,76
6,Alabama,67
7,Ohio,56
8,North Carolina,43
9,South Carolina,43
10,Arizona,37
11,Arkansas,37
12,Louisiana,28
13,Mississippi,21
14,Indiana,20
15,Delaware,16
16,California,13
17,Tennessee,13
18,Illinois,12
19,Nevada,12
20,Utah,7
21,Maryland,5
22,Washington,5
23,Nebraska,4
24,South Dakota,5
25,U.S. Federal Gov't,11
26,Idaho,3
27,Kentucky,3
28,Montana,3
29,Pennsylvania,3
30,Oregon,2
31,Colorado,1
32,Connecticut,1
33,New Mexico,1
34,Wyoming,1
