,Year,Gross domestic product in billion international dollars
0,2021*,86.51
1,2020*,80.82
2,2019*,82.79
3,2018,81.19
4,2017,78.0
5,2016,74.62
6,2015,72.63
7,2014,71.62
8,2013,68.11
9,2012,63.97
10,2011,60.62
11,2010,56.46
12,2009,51.77
13,2008,49.29
14,2007,45.11
15,2006,41.24
16,2005,38.45
17,2004,34.91
18,2003,32.49
19,2002,31.17
20,2001,33.01
21,2000,33.46
22,1999,33.32
23,1998,33.85
24,1997,32.1
25,1996,30.04
26,1995,27.94
27,1994,27.77
28,1993,25.34
29,1992,24.12
30,1991,21.85
31,1990,20.41
32,1989,19.62
33,1988,18.67
34,1987,17.77
35,1986,16.07
36,1985,14.47
37,1984,13.82
