,Month,EUR/GBP exchange rate
0,Oct 2020,0.91
1,Sep 2020,0.91
2,Aug 2020,0.9
3,Jul 2020,0.9
4,Jun 2020,0.9
5,May 2020,0.89
6,Apr 2020,0.88
7,Mar 2020,0.89
8,Feb 2020,0.84
9,Jan 2020,0.85
10,Dec 2019,0.85
11,Nov 2019,0.86
12,Oct 2019,0.88
13,Sep 2019,0.89
14,Aug 2019,0.92
15,Jul 2019,0.9
16,Jun 2019,0.89
17,May 2019,0.87
18,Apr 2019,0.86
19,Mar 2019,0.86
20,Feb 2019,0.87
21,Jan 2019,0.89
22,Dec 2018,0.9
23,Nov 2018,0.88
24,Oct 2018,0.88
25,Sep 2018,0.89
26,Aug 2018,0.9
27,Jul 2018,0.89
28,Jun 2018,0.88
29,May 2018,0.88
30,Apr 2018,0.87
31,Mar 2018,0.88
32,Feb 2018,0.88
33,Jan 2018,0.88
34,Dec 2017,0.88
35,Nov 2017,0.89
36,Oct 2017,0.89
37,Sep 2017,0.89
38,Aug 2017,0.91
39,Jul 2017,0.89
40,Jun 2017,0.88
41,May 2017,0.86
42,Apr 2017,0.85
43,Mar 2017,0.87
44,Feb 2017,0.85
45,Jan 2017,0.86
46,Dec 2016,0.84
47,Nov 2016,0.87
48,Oct 2016,0.89
49,Sep 2016,0.85
50,Aug 2016,0.86
51,Jul 2016,0.84
52,Jun 2016,0.79
53,May 2016,0.78
54,Apr 2016,0.79
55,Mar 2016,0.78
56,Feb 2016,0.78
57,Jan 2016,0.75
58,Dec 2015,0.73
59,Nov 2015,0.71
60,Oct 2015,0.73
61,Sep 2015,0.73
62,Aug 2015,0.71
63,Jul 2015,0.71
64,Jun 2015,0.72
65,May 2015,0.72
66,Apr 2015,0.72
67,Mar 2015,0.72
68,Feb 2015,0.74
69,Jan 2015,0.77
70,Dec 2014,0.79
71,Nov 2014,0.79
72,Oct 2014,0.79
73,Sep 2014,0.79
74,Aug 2014,0.8
75,Jul 2014,0.79
76,Jun 2014,0.8
77,May 2014,0.82
78,Apr 2014,0.83
79,Mar 2014,0.83
80,Feb 2014,0.83
81,Jan 2014,0.83
82,Dec 2013,0.84
83,Nov 2013,0.84
84,Oct 2013,0.85
85,Sep 2013,0.84
86,Aug 2013,0.86
87,Jul 2013,0.86
88,Jun 2013,0.85
89,May 2013,0.85
90,Apr 2013,0.85
91,Mar 2013,0.86
92,Feb 2013,0.86
93,Jan 2013,0.83
94,Dec 2012,0.81
95,Nov 2012,0.8
96,Oct 2012,0.81
97,Sep 2012,0.8
