,Volcanic eruption,Death toll
0,"Volcanic eruption on Martinique, (May 8, 1902)",30000
1,"Volcanic eruption in Colombia, (November 13, 1985)",21800
2,"Volcanic eruption in Guatemala (October 24, 1902)",6000
3,Volcano eruption in Indonesia (1909),5500
4,Volcano eruption in Indonesia (May 1919),5000
5,Volcanic eruption in Guatemala (1929),5000
6,"Volcanic eruption in Papua New Guinea (January 15, 1951)",3000
7,"Volcanic eruption in Cameroon (August 24, 1986)",1746
8,"Volcano eruption in Indonesia (January 3, 1963)",1584
9,"Volcanic eruption on St. Vincentund the Grenadines (May 7, 1902)",1565
