,player,Number of matches
0,Lothar Matthäus,150
1,Miroslav Klose,137
2,Lukas Podolski,130
3,Bastian Schweinsteiger,121
4,Philipp Lahm,113
5,Jürgen Klinsmann,108
6,Jürgen Kohler,105
7,Dixie Dörner,105
8,Joachim Streich,105
9,Per Mertesacker,104
10,Franz Beckenbauer,103
11,Jürgen Croy,102
12,Thomas Häßler,101
13,Toni Kroos*,101
14,Ulf Kirsten,100
15,Thomas Müller,100
16,Michael Ballack,98
17,Berti Vogts,96
18,Manuel Neuer*,96
19,Sepp Maier,95
20,Karl-Heinz Rummenigge,95
21,Konrad Weise,94
22,Mesut Özil,92
23,Rudi Völler,90
24,Oliver Kahn,86
25,Andreas Brehme,86
26,Andreas Möller,85
27,Arne Friedrich,82
28,Bernd Schneider,81
29,Wolfgang Overath,81
30,Karlheinz Förster,81
31,Torsten Frings,79
32,Mario Gomez,78
33,Sami Khedira,77
34,Jérôme Boateng,76
35,Toni Schumacher,76
36,Guido Buchwald,76
37,Eberhard Vogel,76
38,Bernd Bransch,76
39,Matthias Sammer,74
40,Pierre Littbarski,73
41,Christian Ziege,72
42,Uwe Seeler,72
43,Hans-Peter Briegel,72
44,Lothar Kurbjuweit,72
45,Paul Janes,71
46,Martin Hoffmann,71
47,Mats Hummels,70
48,Oliver Bierhoff,70
49,Peter Ducke,70
