,time,Year over year foot traffic growth (2020 vs. 2019)
0,Week 37,-7.14%
1,Week 36,-12.71%
2,Week 35,-14.29%
3,Week 34,-10.29%
4,Week 33,-12.57%
5,Week 32,-12.29%
6,Week 31,-14.71%
7,Week 30,-14.71%
8,Week 29,-13.14%
9,Week 28,-10%
10,Week 27,-13.57%
11,Week 26,-11.43%
12,Week 25,-4.57%
13,Week 24,-10.57%
14,Week 23,-11.57%
15,Week 22,-10.29%
16,Week 21,-9%
17,Week 20,-11.29%
18,Week 19,-5.86%
19,Week 18,-8%
20,Week 17,-12.86%
21,Week 16,-23.43%
22,Week 15,-22.57%
23,Week 14,-21.14%
24,Week 13,-17.43%
25,Week 12,-6.14%
26,Week 11,16.86%
27,Week 10,7.57%
28,Week 9,5.14%
29,Week 8,3.14%
30,Week 7,7.14%
31,Week 6,4.43%
32,Week 5,4.5%
