,automobile model series,Units sold
0,Skoda Octavia,3688
1,VW Tiguan,2759
2,VW Golf,2081
3,VW T6,1893
4,Mercedes-Benz A-Class,1848
5,Skoda Karoq,1840
6,Volvo XC40,1832
7,BMW  X3,1755
8,Audi Q3,1735
9,Mercedes-Benz GLC-Klasse,1729
10,Skoda Kodiaq,1724
11,Tesla Model 3,1649
12,Fiat 500,1628
13,VW  T-Roc,1573
14,Seat Leon,1477
15,BMW X1,1412
16,BMW 2-Series,1394
17,Renault Zoe,1394
18,Dacia  Duster,1391
19,Mercedes-Benz C-Class,1390
20,VW Polo,1376
21,BMW 3-Series,1373
22,Audi A3,1255
23,Dacia  Sandero,1041
24,Skoda Fabia,918
