,business,Turnover in billion NOK
0,Norsk Tjenestemannslag,196.82
1,Hikoki Power Tools Norway AS,189.15
2,Norsk Hydro ASA,151.01
3,Telenor ASA,114.41
4,Helse Sør-Øst RHF,86.77
5,Odd Reitan Private Holding AS,76.6
6,Reitangruppen AS,76.6
7,Equinor ASA,64.36
8,Rema 1000 AS,57.21
9,Coop Norge SA,50.61
10,Aker ASA,48.76
11,The Resource Group Trg AS,48.71
12,Orkla ASA,43.99
13,Norwegian Air Shuttle ASA,40.27
14,Norsk Tipping AS,38.13
15,Atea ASA,36.66
16,Veidekke ASA,36.57
17,Esso Norge AS,32.29
18,Laco AS,30.65
19,Total E&P Norge AS,30.63
