,Month,Price in GBP per head
0,Nov '19,0.53
1,Oct '19,0.54
2,Sep '19,0.53
3,Aug '19,0.54
4,Jul '19,0.59
5,Jun '19,0.58
6,May '19,0.32
7,Apr '19,0.48
8,Mar '19,0.49
9,Feb '19,0.5
10,Jan '19,0.49
11,Dec '18,0.46
12,Nov '18,0.46
13,Oct '18,0.46
14,Sep '18,0.48
15,Aug '18,0.51
16,Jul '18,0.62
17,Jun '18,0.51
18,May '18,0.38
19,Apr '18,0.41
20,Mar '18,0.43
21,Feb '18,0.42
22,Jan '18,0.39
23,Dec '17,0.42
24,Nov '17,0.4
25,Oct '17,0.41
26,Sep '17,0.42
27,Aug '17,0.42
28,Jul '17,0.46
29,Jun '17,0.48
30,Apr '17,0.38
31,Mar '17,0.41
32,Feb '17,0.4
33,Jan '17,0.4
34,Dec '16,0.43
35,Nov '16,0.44
36,Oct '16,0.45
37,Sep '16,0.45
38,Aug '16,0.42
39,Jul '16,0.47
40,Jun '16,0.5
41,May '16,0.4
42,Apr '16,0.38
43,Mar '16,0.38
44,Feb '16,0.37
45,Jan '16,0.37
46,Dec '15,0.37
47,Nov '15,0.39
48,Oct '15,0.38
49,Sep '15,0.4
50,Aug '15,0.41
51,Jul '15,0.44
52,Jun '15,0.5
53,May '15,0.39
54,Apr '15,0.42
55,Mar '15,0.39
56,Feb '15,0.37
57,Jan '15,0.35
