,leading banks,Value in billion euros
0,BNP Paribas SA,61.08
1,Crédit Agricole SA,35.55
2,Société Générale SA,25.41
3,Natixis SA,12.13
4,Caisse regionale de Credit Agricole Mutuel de Paris et d'Ile-de-France,0.86
5,Caisse Regionale de Credit Agricole Mutuel Brie Picardie,0.55
6,Caisse Regionale de Credit Agricole Mutuel de Nord de France SC,0.5
7,Caisse Regionale de Credit Agricole Mutuel d'Ille-et-Vilaine SC,0.27
8,Caisse Regionale de Credit Agricole Mutuel Atlantique Vendee SC,0.21
9,Caisse Regionale de Credit Agricole Mutuel Toulouse 31 SC,0.19
