,Month,Indicator score from 1 (lowest) to 5 (highest)
0,GlaxoSmithKline plc,4.0
1,Merck KGaA,3.69
2,Novartis AG,3.55
3,Johnson & Johnson,3.19
4,Sanofi,2.83
5,Eisai Co. Ltd.,2.8
6,Takeda Pharmaceutical Co.,2.8
7,Daiichi Sankyo Co. Ltd.,2.71
8,Bayer AG,2.14
9,Novo Nordisk A/S,2.09
10,AstraZeneca plc,2.05
11,Astellas Pharma Inc.,2.01
12,AbbVie Inc.,1.98
13,Pfizer Inc.,1.9
14,Roche Holding Ltd,1.84
15,Merck & Co. Inc.,1.78
16,Boehringer-Ingelheim GmbH,1.73
17,Bristol-Myers Squibb Co.,1.56
18,Gilead Sciences Inc.,1.43
19,Eli Lilly & Co.,0.88
