,Country,Rating points average
0,Lisbon,4.19
1,Berlin,4.11
2,Madrid,4.03
3,Frankfurt,4.03
4,Dublin,4.01
5,Hamburg,3.99
6,Munich,3.96
7,Amsterdam,3.94
8,Luxembourg,3.93
9,Paris,3.91
10,Vienna,3.9
11,Copenhagen,3.83
12,Athens,3.83
13,Helsinki,3.83
14,Zurich,3.8
15,Lyon,3.72
16,Oslo,3.71
17,Prague,3.68
18,Stockholm,3.67
19,Milan,3.6
20,Warsaw,3.46
21,Budapest,3.43
22,Birmingham,3.4
23,Manchester,3.34
24,Brussels,3.33
25,Edinburgh,3.32
26,Rome,3.25
27,Barcelona,3.21
28,London,2.9
29,Moscow,2.82
30,Istanbul,2.54
