,Soccer players under 20,Transfer value in million euros
0,Jadon Sancho,198.5
1,Erling Haland,101.0
2,Rodrygo Goes,88.9
3,Vinícius Júnior,73.9
4,Callum Hudson-Odoi,72.3
5,Ferran Torres,55.2
6,Eduardo Camavinga,53.0
7,Mason Greenwood,50.6
8,Phil Foden,50.4
9,Moise Kean,46.0
10,Ozan Kabak,43.5
11,Ansu Fati,42.7
12,Takefusa Kubo,41.2
13,Max Aarons,40.4
14,Dejan Kulusevski,39.6
15,Ryan Sessegnon,38.9
16,Sandro Tonali,36.9
17,Hamed Traoré,27.6
18,Benoît Badiashile,27.2
19,William Saliba,26.7
20,Gabriel Martinelli,25.2
