,Year,Gross domestic product in billion international dollars
0,2021*,12.84
1,2020*,12.37
2,2019*,12.41
3,2018,12.07
4,2017,11.51
5,2016,11.08
6,2015,10.82
7,2014,10.47
8,2013,10.19
9,2012,9.64
10,2011,8.97
11,2010,8.6
12,2009,8.19
13,2008,8.0
14,2007,7.78
15,2006,7.26
16,2005,6.65
17,2004,6.08
18,2003,5.72
19,2002,5.4
20,2001,5.09
21,2000,4.93
22,1999,4.74
23,1998,4.54
24,1997,4.38
25,1996,4.17
26,1995,3.95
27,1994,3.69
28,1993,3.52
29,1992,3.34
30,1991,3.16
31,1990,3.01
32,1989,2.64
33,1988,2.32
34,1987,2.08
35,1986,1.85
36,1985,1.53
37,1984,1.45
