,Country,Average number of children per woman
0,Niger,3.98
1,Angola,3.68
2,Somalia,3.63
3,Nigeria,3.35
4,Burundi,3.31
5,United Republic of Tanzania,3.31
6,Chad,3.31
7,Mali,3.27
8,Cote d'Ivoire,3.23
9,Zambia,3.21
10,Benin,3.21
11,Mauritania,3.19
12,Democratic Republic of the Congo,3.17
13,Congo,3.14
14,Burkina Faso,3.14
15,Senegal,3.11
16,Cameroon,3.05
17,Solomon Islands,3.04
18,Sudan,3.01
19,Sao Tome and Principe,2.99
20,Mozambique,2.95
21,Guinea,2.95
22,Gambia,2.94
23,Togo,2.93
24,South Sudan,2.88
