,Month,Market share
0,Dec 19,9.47%
1,Nov 19,7.43%
2,Oct 19,8.44%
3,Sep 19,8.11%
4,Aug 19,5.24%
5,Jul 19,5.85%
6,Jun 19,8.94%
7,May 19,6.76%
8,Apr 19,6.75%
9,Mar 19,6.62%
10,Feb 19,8.38%
11,Jan 19,5.93%
12,Dec 18,8.05%
13,Nov 18,8.08%
14,Oct 18,7.37%
15,Sep 18,8.25%
16,Aug 18,6.37%
17,Jul 18,6.09%
18,Jun 18,9.78%
19,May 18,6.72%
20,Apr 18,5.41%
21,Mar 18,6.68%
22,Feb 18,8.35%
23,Jan 18,5.5%
24,Dec 17,8.84%
25,Nov 17,7.82%
26,Oct 17,6.99%
27,Sep 17,7.38%
28,Aug 17,6.03%
29,Jul 17,5.61%
30,Jun 17,7.87%
31,May 17,6.83%
32,Apr 17,7.42%
33,Mar 17,6.2%
34,Feb 17,7.36%
35,Jan 17,4.86%
36,Dec 16,8.46%
37,Nov 16,8.33%
38,Oct 16,7.52%
39,Sep 16,6.94%
40,Aug 16,5.82%
41,Jul 16,5.43%
42,Jun 16,7.32%
43,May 16,7.58%
44,Apr 16,5.79%
45,Mar 16,6.26%
46,Feb 16,6.91%
47,Jan 16,4.87%
48,Dec 15,9.54%
49,Nov 15,6.69%
50,Oct 15,7.85%
51,Sep 15,6.42%
52,Aug 15,6.13%
53,Jul 15,5.26%
54,Jun 15,6.69%
55,May 15,6.14%
56,Apr 15,5.86%
57,Mar 15,5.46%
58,Feb 15,6.62%
59,Jan 15,4.86%
60,Dec 14,7.49%
61,Nov 14,7.17%
62,Oct 14,5.87%
63,Sep 14,5.84%
64,Aug 14,4.92%
65,Jul 14,5.76%
