,Year,Export volume in billion U.S. dollars
0,2019,60.3
1,2018,57.75
2,2017,53.96
3,2016,49.57
4,2015,49.98
5,2014,49.42
6,2013,47.36
7,2012,48.8
8,2011,49.29
9,2010,48.16
10,2009,43.31
11,2008,54.51
12,2007,49.42
13,2006,41.16
14,2005,34.18
15,2004,31.42
16,2003,28.83
17,2002,26.63
18,2001,30.0
19,2000,29.45
20,1999,26.8
21,1998,26.66
22,1997,24.46
23,1996,23.49
24,1995,22.39
25,1994,19.23
26,1993,18.93
27,1992,21.25
28,1991,21.3
29,1990,18.76
30,1989,16.86
31,1988,14.35
32,1987,11.75
33,1986,10.56
34,1985,9.05
