,Year,Percentage of change compared to previous year
0,2024*,3.72%
1,2023*,3.7%
2,2022*,3.8%
3,2021*,2.46%
4,2020*,2.63%
5,2019*,2.71%
6,2018,3.94%
7,2017,3.02%
8,2016,-0.1%
9,2015,0.58%
10,2014,4.29%
11,2013,3.58%
12,2012,3.41%
13,2011,7.14%
14,2010,12.14%
15,2009,-8.4%
16,2008,5.66%
17,2007,8.7%
18,2006,9.34%
19,2005,7.13%
20,2004,9.67%
21,2003,2.19%
22,2002,-1.74%
23,2001,-5.78%
24,2000,8.34%
25,1999,4.98%
26,1998,2.33%
27,1997,11.91%
28,1996,8.17%
29,1995,10.28%
30,1994,8.84%
31,1993,3.28%
32,1992,6.93%
33,1991,6.61%
34,1990,8.82%
