,state of India,Number of tests per million
0,Maharashtra,150520.1
1,Rajasthan,147156.7
2,Jammu and Kashmir,143180.1
3,Madhya Pradesh,117890.1
4,Nagaland,99266.2
5,Himachal Pradesh,93035.6
6,Jharkhand,81960.8
7,National average,81582.4
8,Punjab,64810.1
9,Telangana,64431.3
10,Puducherry,61211.4
11,West Bengal,60220.7
12,Meghalaya,54964.5
13,Manipur,52460.4
14,Kerala,48469.7
15,Uttar Pradesh,46219.2
16,Tamil Nadu,45494.2
17,Karnataka,43753.8
18,Odisha,41885.5
19,Tripura,39252.6
20,Mizoram,35204.2
21,Uttarakhand,34322.4
22,Ladakh,29985.7
23,Sikkim,21153.3
24,Delhi,11968.0
25,Gujarat,10481.0
26,Goa,10075.0
27,Andhra Pradesh,6776.0
28,Arunachal Pradesh,4979.0
29,Chandigarh,3853.0
30,Haryana,2966.0
31,Assam,2694.0
32,Chhattisgarh,2228.0
33,Bihar,605.0
