,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",62.28
1,Manufacturing,50.22
2,Professional and business services,48.66
3,"Educational services, health care, and social assistance",36.34
4,Government and government enterprises,30.86
5,Wholesale trade,23.71
6,Retail trade,19.66
7,Information,13.97
8,Construction,11.69
9,"Arts, entertainment, recreation, accommodation, and food services",10.58
10,Transportation and warehousing,10.32
11,"Agriculture, forestry, fishing, and hunting",7.91
12,Other services (except government and government enterprises),6.73
13,Utilities,4.72
14,"Mining, quarrying, and oil and gas extraction",4.07
