,player,Payroll in thousand U.S. dollars
0,"Valeri ""Vako"" Qazaishvili",1604.04
1,Chris Wondolowski,800.0
2,Andres  Rios,729.25
3,Carlos  Fierro,718.8
4,Florian Jungwirth,616.68
5,Guram Kashia,590.0
6,Cristian Espinoza,550.0
7,Danny Hoesen,549.67
8,Anibal Godoy,498.13
9,Magnus Eriksson,450.0
10,Marcos Lopez Lanfranco,387.75
11,Harold Cummings,320.67
12,Judson,305.0
13,Francois Affolter,282.0
14,Shea Salinas,250.0
15,Andrew Tarbell,235.0
16,Nick Lima,218.44
17,Daniel Vega,210.0
18,Jackson Yueill,190.0
19,Tommy Thompson,175.0
20,JT Marcinkowski,147.0
21,Eric Calvillo,136.5
22,Siad Haji,104.0
23,Gilbert Fuentes,92.0
24,Matt Bersano,71.67
25,Luis Felipe,71.63
26,Jimmy Ockford,70.88
27,Cade Cowell,67.23
28,Jacob Akanyirige,64.23
29,Paul Marie,57.23
30,Kevin Partida,57.23
