,Country,Active social media penetration
0,Albania,51%
1,Andorra,65%
2,Austria,50%
3,Belarus,40%
4,Belgium,65%
5,Bosnia & Herzegovina,49%
6,Bulgaria,54%
7,Croatia,48%
8,Czechia,54%
9,Denmark,71%
10,Estonia,57%
11,Finland,59%
12,France,58%
13,Germany,46%
14,Gibraltar,72%
15,Greece,54%
16,Guernsey,58%
17,Hungary,62%
18,Iceland,83%
19,Republic of Ireland,66%
20,Italy,59%
21,Kosovo,40%
22,Latvia,51%
23,Liechtenstein,44%
24,Lithuania,59%
25,Luxembourg,62%
26,Malta,88%
27,Moldova,30%
28,Monaco,99%
29,Montenegro,60%
30,Netherlands,64%
31,Norway,71%
32,Poland,47%
33,Portugal,65%
34,Romania,56%
35,Serbia,43%
36,Slovakia,50%
37,Slovenia,53%
38,Spain,60%
39,Sweden,72%
40,Switzerland,51%
41,The Faroe Islands,75%
42,Ukraine,39%
43,United Kingdom (UK),67%
