,university,Number of students
0,La Sapienza University of Rome,101034
1,University of Bologna,81260
2,University of Naples Federico II,76665
3,University of Turin,72465
4,University of Milan,61721
5,University of Padua,59364
6,University of Florence,52707
7,Polytechnic University of Milan,45622
8,University of Pisa,45502
9,University of Bari,43464
10,University of Catania,41951
11,University of Palermo,40076
12,Catholic University of Milan,39499
13,University of Salerno,35775
14,University of Milano-Bicocca,33806
15,Polytechnic University of Turin,33404
16,University of Genoa,32349
17,Roma Tre University,32488
18,Pegaso online University,29962
19,University of Rome Tor Vergata,29420
