,International route,Number of flights
0,Kuala Lumpur (KUL) to Singapore (SIN),29993
1,Jakarta (CGK) to Kuala Lumpur (KUL),20138
2,Seoul Incheon (ICN) to Osaka Kansai (KIX),17152
3,Hong Kong (HKG) to Seoul Incheon (ICN),15160
4,Seoul Incheon (ICN) to Tokyo Narita (NRT),14828
5,Osaka Kansai (KIX) to Shanghai Pudong (PVG),14098
6,Da Nang (DAD) to Seoul Incheon (ICN),13163
7,Tokyo Narita (NRT) to Taipei (TPE),12881
8,Osaka Kansai (KIX) to Taipei (TPE),12722
9,Seoul Incheon (ICN) to Taipei (TPE),9819
