,City Name,Per capita income in U.S. dollars
0,"San Francisco city, California",71606
1,"Seattle city, Washington",60625
2,"Washington city, District of Columbia",55328
3,"San Jose city, California",48264
4,"Denver city, Colorado",44556
5,"Austin city, Texas",43923
6,"Boston city, Massachusetts",43367
7,"Portland city, Oregon",42814
8,"San Diego city, California",40760
9,"New York city, New York",39589
10,"Charlotte city, North Carolina",37913
11,"Chicago city, Illinois",37160
12,"Nashville-Davidson metropolitan government (balance), Tennessee",35834
13,"Los Angeles city, California",35089
14,"Dallas city, Texas",34016
15,"Houston city, Texas",31162
16,"Jacksonville city, Florida",30632
17,"Phoenix city, Arizona",29310
18,"Fort Worth city, Texas",29010
19,"Columbus city, Ohio",28989
20,"Philadelphia city, Pennsylvania",28379
21,"Indianapolis city (balance), Indiana",27860
22,"San Antonio city, Texas",24684
23,"El Paso city, Texas",22777
24,"Detroit city, Michigan",18427
