,Month,Units sold
0,Jul '20,4452
1,Jul '19,3440
2,Jan '19,1453
3,Dec '18,1365
4,Nov '18,1748
5,Oct '18,2089
6,Sep '18,4268
7,Aug '18,2569
8,Jul '18,3277
9,Jun '18,4792
10,May '18,3616
11,Apr '18,2859
12,Mar '18,4539
13,Feb '18,960
14,Jan '18,1493
15,Dec '17,1968
16,Nov '17,1628
17,Oct '17,1881
18,Sep '17,3577
19,Aug '17,2152
20,Jul '17,3178
21,Jun '17,3753
22,May '17,3457
23,Apr '17,3327
24,Mar '17,4204
25,Feb '17,896
26,Jan '17,1211
27,Dec '16,3053
28,Nov '16,1911
29,Oct '16,2254
30,Sep '16,4711
31,Aug '16,2400
32,Jul '16,3316
