,business,Turnover in billion NOK
0,DNB ASA,28.78
1,Telenor ASA,23.62
2,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN,22.68
3,Statkraft AS,20.65
4,Exxonmobil Exploration And Production Norway AS,19.19
5,Equinor ASA,18.87
6,Total E&P Norge AS,17.41
7,Norske Shell A/S,17.0
8,ConocoPhillips Skandinavia AS,13.64
9,Statkraft Energi AS,12.38
10,Lundin Norway AS,10.12
11,Equinor Dezassete AS,8.4
12,Vår Energi AS,8.12
13,Neptune Energy Norge AS,7.0
14,Omv (Norge) AS,6.49
15,Norsk Hydro ASA,6.46
16,Telenor Norge AS,6.32
17,Norsk Tipping AS,5.52
18,Austevoll Seafood ASA,5.19
19,Gjensidige Forsikring ASA,4.6
