,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",38.88
1,Manufacturing,30.06
2,Government and government enterprises,19.16
3,"Agriculture, forestry, fishing, and hunting",13.37
4,"Educational services, health care, and social assistance",13.02
5,Professional and business services,12.09
6,Wholesale trade,9.99
7,Retail trade,9.65
8,Construction,5.96
9,Transportation and warehousing,5.34
10,Information,5.3
11,"Arts, entertainment, recreation, accommodation, and food services",4.55
12,Utilities,2.9
13,"Mining, quarrying, and oil and gas extraction",0.46
