,Quarter,Male,Female
0,1960,39.5%,42.5%
1,1965,48%,49.9%
2,1970,51.9%,52.8%
3,1975,63.1%,62.1%
4,1980,67.3%,65.8%
5,1985,74.4%,73.5%
6,1990,77.7%,77.5%
7,1991,78.5%,78.3%
8,1992,79.7%,79.2%
9,1993,80.5%,80%
10,1994,81%,80.7%
11,1995,81.7%,81.6%
12,1996,81.9%,81.6%
13,1997,82%,82.2%
14,1998,82.8%,82.9%
15,1999,83.4%,83.4%
16,2000,84.2%,84%
17,2001,84.1%,84.2%
18,2002,83.8%,84.4%
19,2003,84.1%,85%
20,2004,84.8%,85.4%
21,2005,84.9%,85.5%
22,2006,85%,85.9%
23,2007,85%,86.4%
24,2008,85.9%,87.2%
25,2009,86.2%,87.1%
26,2010,86.6%,87.6%
27,2011,87.1%,88%
28,2012,87.3%,88%
29,2013,87.6%,88.6%
30,2014,87.7%,88.9%
31,2015,88%,88.8%
32,2016,88.5%,89.6%
33,2017,89.1%,90%
34,2018,89.4%,90.2%
