,Month,Payroll in thousand U.S. dollars
0,Michael Bradley,6500.0
1,Jozy Altidore,6332.25
2,Alejandro Pozuelo Melero,3800.0
3,Jonathan Osorio,776.25
4,Chris Mavinga,663.33
5,Laurent Ciman,435.63
6,Alex Bono,382.0
7,Drew Moor,375.0
8,Justin Morrow,330.0
9,Eriq Zavaleta,296.96
10,Auro,276.67
11,Marco Delgado,253.0
12,Terrence Boyd,213.83
13,Nick DeLeon,175.27
14,Jay Chapman,138.5
15,Jordan Hamilton,137.66
16,Griffin Dorsey,134.0
17,Ashtone Morgan,133.5
18,Ayo Akinola,124.26
19,Quentin Westberg,115.25
20,Liam Fraser,75.88
21,Tsubasa Endoh,74.25
22,Caleb Patterson-Sewell,70.88
23,Jon Bakero,70.25
24,Ryan Telfer,70.25
25,Noble Okello,68.06
26,Aidan Daniels,57.23
27,Julian Dunn,57.23
28,Richie Karyea,56.25
