,Country,Ranking points
0,Belgium,1765
1,France,1752
2,Brazil,1725
3,England,1669
4,Portugal,1661
5,Spain,1639
6,Uruguay,1637
7,Argentina,1636
8,Croatia,1634
9,Colombia,1631
10,Mexico,1625
11,Italy,1612
12,Denmark,1610
13,Germany,1607
14,Netherlands,1596
15,Switzerland,1589
16,Chile,1570
17,Poland,1568
18,Sweden,1558
19,Wales,1550
20,Senegal,1549
21,USA,1542
22,Ukraine,1539
23,Peru,1533
24,Austria,1523
25,Tunisia,1507
26,Japan,1503
27,Venezuela,1493
28,Iran,1492
29,Serbia,1489
30,Algeria,1489
31,Nigeria,1488
32,Turkey,1486
33,Russia,1480
34,Paraguay,1476
35,Republic of Ireland,1467
36,Slovakia,1466
37,Korea Republic,1464
38,Morocco,1461
39,Iceland,1461
40,Northern Ireland,1458
41,Australia,1457
42,Norway,1456
43,Romania,1455
44,Scotland,1446
45,Czech Republic,1446
46,Hungary,1439
47,Ghana,1438
48,Jamaica,1438
49,Costa Rica,1427
