,European University,Times Higher Education score
0,University of Oxford (UK),95.4
1,University of Cambridge (UK),94.4
2,Imperial College London (UK),89.8
3,ETH Zürich – Swiss Federal Institute of Technology Zürich (CH),88.3
4,University College London (UK),87.1
5,London School of Economics and Political Science (UK),81.3
6,University of Edinburgh (UK),79.4
7,Ludwig-Maximilians-Universität München (GE),77.8
8,King's College London (UK),75.7
9,École Polytechnique Fédérale de Lausanne (CH),75.4
10,Karolinska Institute (SE),74.7
11,Technical University of Munich (GE),74.1
12,Heidelberg University (GE),73.5
13,Paris Sciences et Lettres – PSL Research University,73.2
14,KU Leuven (BE),73.2
15,University of Manchester (UK),69.7
16,Wageningen University and Research Center (NE),69.4
17,University of Amsterdam (NE),68.1
18,Delft University of Technology (NE),66.7
19,Leiden University (NE),66.7
