,State,Number of thefts
0,California,7035
1,Florida,4279
2,Texas,3073
3,New York,1777
4,South Carolina,1743
5,North Carolina,1466
6,Indiana,1229
7,Missouri,1194
8,Georgia,1174
9,Colorado,1109
10,Washington,962
11,Pennsylvania,960
12,Arizona,907
13,Massachusetts,862
14,Tennessee,807
15,Virginia,806
16,Maryland,789
17,Nevada,779
18,Michigan,762
19,Ohio,707
20,Oregon,693
21,Arkansas,692
22,Kentucky,619
23,New Jersey,569
24,Oklahoma,562
25,Illinois,562
26,Louisiana,554
27,Alabama,526
28,Kansas,521
29,Connecticut,422
30,New Mexico,395
31,Iowa,351
32,Utah,333
33,Minnesota,301
34,Wisconsin,230
35,District Of Columbia,229
36,Hawaii,224
37,Mississippi,200
38,West Virginia,194
39,Rhode Island,149
40,Idaho,142
41,Nebraska,141
42,Montana,126
43,Delaware,118
44,North Dakota,86
45,Alaska,78
46,New Hampshire,66
47,South Dakota,58
48,Wyoming,53
49,Maine,38
50,Vermont,22
