,State,"Number of deaths per 100,000 people"
0,New Jersey,218
1,New York,199
2,Massachusetts,185
3,Rhode Island,177
4,Connecticut,174
5,North Dakota,174
6,South Dakota,171
7,Mississippi,167
8,Louisiana,164
9,Illinois,146
10,Michigan,136
11,Indiana,129
12,Pennsylvania,129
13,Arizona,128
14,Iowa,127
15,Arkansas,127
16,New Mexico,124
17,District of Columbia,113
18,South Carolina,107
19,Tennessee,106
20,Nevada,105
21,Georgia,104
22,Florida,103
23,Kansas,102
24,Maryland,101
25,Alabama,100
26,Texas,99
27,Minnesota,98
28,Missouri,97
29,Delaware,97
30,Montana,94
31,Wisconsin,92
32,Colorado,87
33,Nebraska,87
34,Idaho,82
35,Wyoming,80
36,West Virginia,80
37,Ohio,79
38,California,70
39,North Carolina,67
40,Oklahoma,65
41,Kentucky,62
42,Virginia,61
43,New Hampshire,58
44,Puerto Rico,49
45,Washington,47
46,Utah,41
47,Oregon,37
48,Alaska,30
49,Maine,27
50,Vermont,24
51,Hawaii,20
