,Year,Male,Female
0,South Africa (2010),552,557
1,China (2008),540,544
2,Estonia (2009-2010),532,528
3,India (1999),534,521
4,New Zealand (2009-10),522,529
5,United States (2014),518,532
6,Sweden (2010),503,543
7,Australia (2006),513,514
8,Spain (2009-10),510,514
9,Finland (2009-10),507,514
10,France (2009),506,513
11,Austria (2008-09),505,513
12,Turkey (2006),504,512
13,Netherlands (2005-06),498,516
14,Poland (2003-04),502,511
15,Portugal (1999),503,508
16,Belgium (2005),494,513
17,Slovenia (2000-01),501,504
18,Canada (2010),493,507
19,Ireland (2005),488,506
20,Italy (2008),495,499
21,Germany (2001-02),488,497
22,Mexico (2009),496,488
23,Denmark (2001),479,497
24,Norway (2010),481,490
25,United Kingdom (2005),476,491
26,Japan (2011),472,456
27,Korea (2009),461,462
