,Year,Inflation rate compared to previous year
0,2024*,4%
1,2023*,4%
2,2022*,4%
3,2021*,3.65%
4,2020*,3.48%
5,2019*,2.97%
6,2018,3.24%
7,2017,3.3%
8,2016,2.81%
9,2015,3.05%
10,2014,4.42%
11,2013,5.88%
12,2012,7.54%
13,2011,8.47%
14,2010,6.95%
15,2009,8.11%
16,2008,12.62%
17,2007,7.08%
18,2006,11.55%
19,2005,8.61%
20,2004,6.99%
21,2003,9.19%
22,2002,8.03%
23,2001,6.57%
24,2000,8.53%
25,1999,7.82%
26,1998,6.51%
27,1997,8.9%
28,1996,10.1%
29,1995,10.5%
30,1994,10.6%
31,1993,14.4%
32,1992,16.5%
33,1991,12.6%
34,1990,11.4%
35,1989,11.6%
36,1988,8.4%
37,1987,9.8%
38,1986,10%
39,1985,8.1%
40,1984,8.6%
