,state of India,"Rural birth rate per 1,000 inhabitants"
0,Andaman and Nicobar islands,14.5
1,Andhra Pradesh,17.7
2,Arunachal Pradesh,20.8
3,Assam,23.5
4,Bihar,28.3
5,Chandigarh,20.5
6,Chhatisgarh,25.8
7,Dadra and Nagar Haveli,24.9
8,Daman & Diu,18.2
9,Delhi,18.9
10,Goa,12.4
11,Gujarat,22.2
12,Haryana,22.4
13,Himachal Pradesh,16.5
14,Jammu and Kashmir,18.7
15,Jharkhand,25.9
16,Karnataka,19.1
17,Kerala,15.0
18,Lakshadweep,16.2
19,Madhya Pradesh,28.2
20,Maharashtra,17.2
21,Manipur,14.5
22,Meghalaya,26.1
23,Mizoram,20.0
24,Nagaland,15.5
25,Odisha,20.5
26,Puducherry,15.9
27,Punjab,16.3
28,Rajasthan,26.7
29,Sikkim,17.1
30,Tamil Nadu,15.7
31,Tripura,14.3
32,Uttar Pradesh,28.1
33,Uttarakhand,18.9
34,West Bengal,17.7
