,Year,Inflation rate compared to previous year
0,2024*,2.2%
1,2023*,2.1%
2,2022*,2.3%
3,2021*,2.5%
4,2020*,2.8%
5,2019*,1.4%
6,2018,2.1%
7,2017,1.39%
8,2016,2.8%
9,2015,1.84%
10,2014,2.65%
11,2013,3.3%
12,2012,2.77%
13,2011,-0.37%
14,2010,1.97%
15,2009,2.79%
16,2008,3.53%
17,2007,3.25%
18,2006,2.04%
19,2005,2.62%
20,2004,2.25%
21,2003,1.68%
22,2002,-0.5%
23,2001,-1.18%
24,2000,-0.73%
25,1999,-1.26%
26,1998,-0.42%
27,1997,4.6%
28,1996,-0.19%
29,1995,3.14%
30,1994,4%
31,1993,2.6%
32,1992,-0.3%
33,1991,0.9%
34,1990,1.3%
35,1989,1.2%
36,1988,0.2%
37,1987,-1.7%
38,1986,-2.5%
39,1985,-2.4%
40,1984,0%
