,Club Name,Market value in million euros
0,FC Bayern München,933.15
1,Borussia Dortmund,637.4
2,RasenBallsport Leipzig,594.4
3,Bayer 04 Leverkusen,445.75
4,Borussia Mönchengladbach,312.0
5,FC Schalke 04,242.75
6,TSG 1899 Hoffenheim,238.23
7,Hertha BSC,233.2
8,VfL Wolfsburg,230.95
9,Eintracht Frankfurt,215.8
10,SV Werder Bremen,189.75
11,1. FSV Mainz 05,147.4
12,SC Freiburg,145.4
13,FC Augsburg,131.15
14,1. FC Köln,102.2
15,Fortuna Düsseldorf,93.15
16,1. FC Union Berlin,43.05
17,SC Paderborn,31.25
