,Response,Share of respondents
0,High delivery costs,58.2%
1,Language problems,21.7%
2,Customs clearance,42.9%
3,Non-transparent costs,41.2%
4,Uncertainty with problems,29.7%
5,No demand because all products are obtainable locally,17.5%
6,Long delivery times,56.1%
7,Unknown product quality,33%
8,Complicated return process,44.9%
9,Concerns regarding data protection,22.7%
10,Fear of fraud,43.5%
11,Uncertain delivery,33.1%
12,Concern about misuse of payment data,32.6%
13,"Uncertainty regarding warranty terms, payment process, legal situation, etc.",43.3%
