,state of Mexico,Number of inhabitants in thousands
0,State of Mexico,17666.8
1,Mexico City,8781.3
2,Veracruz,8236.7
3,Jalisco,8222.7
4,Puebla,6388.1
5,Guanajuato,5965.0
6,Chiapas,5463.3
7,Nuevo León,5321.3
8,Michoacán,4695.3
9,Oaxaca,4091.4
10,Chihuahua,3826.9
11,Tamaulipas,3672.3
12,Baja California,3648.1
13,Guerrero,3629.0
14,Coahuila,3073.5
15,Sinaloa,3066.4
16,Sonora,3062.0
17,Hidalgo,2990.3
18,San Luis Potosí,2831.9
19,Tabasco,2460.9
20,Yucatán,2207.2
21,Querétaro,2100.0
22,Morelos,1994.1
23,Durango,1820.7
24,Quintana Roo,1722.6
25,Zacatecas,1615.0
26,Aguascalientes,1342.6
27,Tlaxcala,1334.8
28,Nayarit,1296.9
29,Campeche,952.3
30,Baja California Sur,839.7
31,Colima,763.3
