,category,Percent increase in measured period
0,Online storage and backup,50%
1,File transfer services,36%
2,Webpage translation,32%
3,Photo search/images,27%
4,Gambling,26%
5,Pornography,25%
6,Internet telephony,19%
7,Streaming video,17%
8,Search engines and portals,14%
9,Personal sites,14%
10,Reference,13%
11,Illegal downloads,13%
12,Online communities,12%
13,Illegal drugs,11%
14,Government and law,10%
15,Lingerie and swimsuits,10%
16,Web-based e-mail,10%
17,Adult,8%
18,Advertisments,8%
19,Mobile phones,8%
