,art museum,Attendance in thousands
0,"Louvre, Paris",9600
1,"Vatican Museums, Vatican",6883
2,"British Museum, London",6208
3,"Tate Modern, London",6098
4,"National Gallery, London",6011
5,"Natural History Museum, London",5424
6,"State Hermitage, St Petersburg",4957
7,"Reina Sofia, Madrid",4426
8,"Victoria and Albert Museum, London",3921
9,"Musée D'Orsay, Paris",3652
10,"Centre Pompidou, Paris",3270
11,"Science Museum (South Kensington), London",3254
12,"Museo Nacional Del Prado, Madrid",3203
13,"State Tretyakov Gallery, Moscow",2836
14,"Rijksmuseum, Amsterdam",2700
15,"Cité des Sciences et de l'Industrie, Paris",2370
16,"Galleria Degli Uffizi, Florence",2362
17,"Auschwitz-Birkenau Museum, Oświęcim",2300
18,"National Museum of Scotland, Edinburgh",2210
19,"Van Gogh Museum, Amsterdam",2100
