,State,Percentage of state population
0,Puerto Rico,98.7%
1,New Mexico,49.1%
2,Texas,39.6%
3,California,39.3%
4,Arizona,31.6%
5,Nevada,29%
6,Florida,26.1%
7,Colorado,21.7%
8,New Jersey,20.6%
9,New York,19.2%
10,Illinois,17.3%
11,Connecticut,16.5%
12,Rhode Island,15.9%
13,Utah,14.2%
14,Oregon,13.3%
15,Washington,12.9%
16,Idaho,12.7%
17,Massachusetts,12.3%
18,Kansas,12%
19,District of Columbia,11.3%
20,Nebraska,11.1%
21,Oklahoma,10.9%
22,Hawaii,10.7%
23,Maryland,10.4%
24,Wyoming,10%
25,Georgia,9.7%
26,North Carolina,9.6%
27,Virginia,9.5%
28,Delaware,9.5%
29,Pennsylvania,7.6%
30,Arkansas,7.6%
31,Alaska,7.2%
32,Indiana,7.1%
33,Wisconsin,6.9%
34,Iowa,6.1%
35,South Carolina,5.8%
36,Tennessee,5.5%
37,Minnesota,5.5%
38,Michigan,5.2%
39,Louisiana,5.1%
40,Alabama,4.3%
41,Missouri,4.1%
42,Ohio,3.9%
43,South Dakota,3.9%
44,Montana,3.9%
45,New Hampshire,3.9%
46,Kentucky,3.6%
47,North Dakota,3.6%
48,Mississippi,2.9%
49,Vermont,2%
50,Maine,1.7%
51,West Virginia,1.4%
